Name,EAN/UPC,Brand,Model Type,Color Match,Model Number,Category,Sub-Category,Brand Color,Color,Compatible Device,Compatible With,Type (Name),Type,Material,Finish,Warranty,Warranty Summary,Description,Image1,Image2,Image3,Image4,Image5,Image6,Image7,Video URL,Sales Package,Quantity,Tax,Price,Wholesale Price,Firstsale Price,Special Price From,Special Price To,Dimension,Weight,Meta Title,Meta Description,Meta Keyword,Key Features
Element Case Ion Back Case For Apple iPhone 6S - Black,,Element Case,Ion,EMT-00,EMT-0001,Cases & Protection,Apple,Black,Black,"iPhone 6, iPhone 6S",Apple iPhone 6S,Back Case,"Back Case, Hard Case",,,No Warranty,,Never stand still. Never stop improving. Our next generation ION raises the bar with a high impact resistant Thermoplastic Polyurethane (TPU) body that just feels right in the palm of your hand. The iconic ergonomic shape - with integrated TPU buttons - is bolstered by a genuine aerospace grade Carbon Fiber polycarbonate back plate that both protects and makes heads turn. The ruggedly handsome ION is a member of our Active Collect,Element_Case_EMT-0001_Apple_iPhone_6S_Black_1.jpeg,Element_Case_EMT-0001_Apple_iPhone_6S_Black_2.jpeg,Element_Case_EMT-0001_Apple_iPhone_6S_Black_3.jpeg,Element_Case_EMT-0001_Apple_iPhone_6S_Black_4.jpeg,,,,,,1,12.5,3690,,,,,,,,,,
Element Case Ion Back Case For Apple iPhone 6S - Blue,,Element Case,Ion,EMT-00,EMT-0017,Cases & Protection,Apple,Blue,Blue,"iPhone 6, iPhone 6S",Apple iPhone 6S,Back Case,"Back Case, Hard Case",,,No Warranty,,Never stand still. Never stop improving. Our next generation ION raises the bar with a high impact resistant Thermoplastic Polyurethane (TPU) body that just feels right in the palm of your hand. The iconic ergonomic shape - with integrated TPU buttons - is bolstered by a genuine aerospace grade Carbon Fiber polycarbonate back plate that both protects and makes heads turn. The ruggedly handsome ION is a member of our Active Collect,Element_Case_EMT-0017_Apple_iPhone_6S_Blue_1.jpeg,Element_Case_EMT-0017_Apple_iPhone_6S_Blue_2.jpeg,Element_Case_EMT-0017_Apple_iPhone_6S_Blue_3.jpeg,Element_Case_EMT-0017_Apple_iPhone_6S_Blue_4.jpeg,,,,,,1,12.5,3690,,,,,,,,,,
Element Case Aura Back Case For Apple iPhone 6S - Black,,Element Case,Aura,EMT-322-100D,EMT-322-100D-01,Cases & Protection,Apple,Black,Black,"iPhone 6, iPhone 6S",Apple iPhone 6S,Back Case,"Back Case, Hard Case",,,No Warranty,,SETTING NEW STANDARDS FOR LIGHTWEIGHT PREMIUM CASES – The slim and sexy Aura is a stunning choice. Modern styling fused with high-impact protection enhances its desirability. Glossy spray ?nished top and bottom crowns are paired with a durable Soft-touch coated main body. The interior is lined with special impact absorbing elastomer material to further protect your phone.,Element_Case_EMT-322-100D-01_Apple_iPhone_6S_Black_1.jpeg,Element_Case_EMT-322-100D-01_Apple_iPhone_6S_Black_2.jpeg,Element_Case_EMT-322-100D-01_Apple_iPhone_6S_Black_3.jpeg,Element_Case_EMT-322-100D-01_Apple_iPhone_6S_Black_4.jpeg,,,,,,1,12.5,3690,,,,,,,,,,
Element Case Aura Back Case For Apple iPhone 6S - State Blue,,Element Case,Aura,EMT-322-100D,EMT-322-100D-03,Cases & Protection,Apple,State Blue,Blue,"iPhone 6, iPhone 6S",Apple iPhone 6S,Back Case,"Back Case, Hard Case",,,No Warranty,,SETTING NEW STANDARDS FOR LIGHTWEIGHT PREMIUM CASES – The slim and sexy Aura is a stunning choice. Modern styling fused with high-impact protection enhances its desirability. Glossy spray ?nished top and bottom crowns are paired with a durable Soft-touch coated main body. The interior is lined with special impact absorbing elastomer material to further protect your phone.,Element_Case_EMT-322-100D-03_Apple_iPhone_6S_State_Blue_1.jpeg,Element_Case_EMT-322-100D-03_Apple_iPhone_6S_State_Blue_2.jpeg,Element_Case_EMT-322-100D-03_Apple_iPhone_6S_State_Blue_3.jpeg,Element_Case_EMT-322-100D-03_Apple_iPhone_6S_State_Blue_4.jpeg,,,,,,1,12.5,3690,,,,,,,,,,
Element Case Aura Back Case For Apple iPhone 6S - Coral,,Element Case,Aura,EMT-322-100D,EMT-322-100D-04,Cases & Protection,Apple,Coral,Orange,"iPhone 6, iPhone 6S",Apple iPhone 6S,Back Case,"Back Case, Hard Case",,,No Warranty,,SETTING NEW STANDARDS FOR LIGHTWEIGHT PREMIUM CASES – The slim and sexy Aura is a stunning choice. Modern styling fused with high-impact protection enhances its desirability. Glossy spray ?nished top and bottom crowns are paired with a durable Soft-touch coated main body. The interior is lined with special impact absorbing elastomer material to further protect your phone.,Element_Case_EMT-322-100D-04_Apple_iPhone_6S_Coral_1.jpeg,Element_Case_EMT-322-100D-04_Apple_iPhone_6S_Coral_2.jpeg,Element_Case_EMT-322-100D-04_Apple_iPhone_6S_Coral_3.jpeg,Element_Case_EMT-322-100D-04_Apple_iPhone_6S_Coral_4.jpeg,,,,,,1,12.5,3690,,,,,,,,,,
Element Case Solace Back Case For Apple iPhone 6S - Black,,Element Case,Solace,EMT-322-101D,EMT-322-101D-01,Cases & Protection,Apple,Black,Black,"iPhone 6, iPhone 6S",Apple iPhone 6S,Back Case,"Back Case, Hard Case",,,No Warranty,,"Modern styling fuses with high-impact protection to create the Solace II, our signature case. The precision machined, hand polished aluminum crowns compliment the Soft-touch finished main body, while the interior is lined with a special impact absorbing elastomer material to further protect your phone.",Element_Case_EMT-322-101D-01_Apple_iPhone_6S_Black_1.jpeg,Element_Case_EMT-322-101D-01_Apple_iPhone_6S_Black_2.jpeg,Element_Case_EMT-322-101D-01_Apple_iPhone_6S_Black_3.jpeg,Element_Case_EMT-322-101D-01_Apple_iPhone_6S_Black_4.jpeg,Element_Case_EMT-322-101D-01_Apple_iPhone_6S_Black_5.jpeg,,,,,1,12.5,6990,,,,,,,,,,
Element Case Solace Back Case For Apple iPhone 6S - Gold,,Element Case,Solace,EMT-322-101D,EMT-322-101D-05,Cases & Protection,Apple,Gold,Gold,"iPhone 6, iPhone 6S",Apple iPhone 6S,Back Case,"Back Case, Hard Case",,,No Warranty,,"Modern styling fuses with high-impact protection to create the Solace II, our signature case. The precision machined, hand polished aluminum crowns compliment the Soft-touch finished main body, while the interior is lined with a special impact absorbing elastomer material to further protect your phone.",Element_Case_EMT-322-101D-05_Apple_iPhone_6S_Gold_1.jpeg,Element_Case_EMT-322-101D-05_Apple_iPhone_6S_Gold_2.jpeg,Element_Case_EMT-322-101D-05_Apple_iPhone_6S_Gold_3.jpeg,Element_Case_EMT-322-101D-05_Apple_iPhone_6S_Gold_4.jpeg,Element_Case_EMT-322-101D-05_Apple_iPhone_6S_Gold_5.jpeg,,,,,1,12.5,6990,,,,,,,,,,
Element Case Solace Back Case For Apple iPhone 6S - Silver,,Element Case,Solace,EMT-322-101D,EMT-322-101D-23,Cases & Protection,Apple,Silver,Silver,"iPhone 6, iPhone 6S",Apple iPhone 6S,Back Case,"Back Case, Hard Case",,,No Warranty,,"Modern styling fuses with high-impact protection to create the Solace II, our signature case. The precision machined, hand polished aluminum crowns compliment the Soft-touch finished main body, while the interior is lined with a special impact absorbing elastomer material to further protect your phone.",Element_Case_EMT-322-101D-23_Apple_iPhone_6S_Silver_1.jpeg,Element_Case_EMT-322-101D-23_Apple_iPhone_6S_Silver_2.jpeg,Element_Case_EMT-322-101D-23_Apple_iPhone_6S_Silver_3.jpeg,Element_Case_EMT-322-101D-23_Apple_iPhone_6S_Silver_4.jpeg,Element_Case_EMT-322-101D-23_Apple_iPhone_6S_Silver_5.jpeg,,,,,1,12.5,6990,,,,,,,,,,
Element Case Sector Pro Back Case For Apple iPhone 6S - Silver,,Element Case,Sector Pro,EMT-322-103D-23,EMT-322-103D-23,Cases & Protection,Apple,Silver,Silver,"iPhone 6, iPhone 6S",Apple iPhone 6S,Back Case,"Back Case, Hard Case",,,No Warranty,,"Still as sleek, bold and durable as ever, Sector Pro II raises the bar, again. Compatible with all iPhone 6/6s models, including 6 Plus/6s Plus, the Sector Pro II also features our unique QRC&#8482; (Quick Release Crowns) system for fast installation and docking capability. Its CNC machined aluminum perimeter frame and genuine Carbon Fiber back plate provides feather light protection. CNC machined aluminum controls are incorporated in an all new Soft-touch finished main body. Designed to work with Apple original lightning charging cable.",Element_Case_EMT-322-103D-23_Apple_iPhone_6S_Silver_1.jpeg,Element_Case_EMT-322-103D-23_Apple_iPhone_6S_Silver_2.jpeg,Element_Case_EMT-322-103D-23_Apple_iPhone_6S_Silver_3.jpeg,Element_Case_EMT-322-103D-23_Apple_iPhone_6S_Silver_4.jpeg,Element_Case_EMT-322-103D-23_Apple_iPhone_6S_Silver_5.jpeg,,,,,1,12.5,9990,,,,,,,,,,
Element Case Ronin Back Case For Apple iPhone 6S - Walnut,,Element Case,Ronin,EMT-322-102D,EMT-322-102D-07,Cases & Protection,Apple,Walnut,Black,"iPhone 6, iPhone 6S",Apple iPhone 6S,Back Case,"Back Case, Hard Case",,,No Warranty,,"The Ronin continues to set new standards in unsurpassed artistry and highly refined style. Every facet of Ronin&#39;s design – from high polished alloy crowns and wood side rails, to the genuine leather wrapped back- exemplifies the desire to create a case that rises above all others. Never settling for less, we pride ourselves on precision craftsmanship, masterful use of exotic materials, and attention to the finest of details.",Element_Case_EMT-322-102D-07_Apple_iPhone_6S_Walnut_1.jpeg,Element_Case_EMT-322-102D-07_Apple_iPhone_6S_Walnut_2.jpeg,Element_Case_EMT-322-102D-07_Apple_iPhone_6S_Walnut_3.jpeg,Element_Case_EMT-322-102D-07_Apple_iPhone_6S_Walnut_4.jpeg,Element_Case_EMT-322-102D-07_Apple_iPhone_6S_Walnut_5.jpeg,,,,,1,12.5,13490,,,,,,,,,,
Element Case Ronin Back Case For Apple iPhone 6S - Bamboo,,Element Case,Ronin,EMT-322-102D,EMT-322-102D-08,Cases & Protection,Apple,Bamboo,White,"iPhone 6, iPhone 6S",Apple iPhone 6S,Back Case,"Back Case, Hard Case",,,No Warranty,,"The Ronin continues to set new standards in unsurpassed artistry and highly refined style. Every facet of Ronin&#39;s design – from high polished alloy crowns and wood side rails, to the genuine leather wrapped back- exemplifies the desire to create a case that rises above all others. Never settling for less, we pride ourselves on precision craftsmanship, masterful use of exotic materials, and attention to the finest of details.",Element_Case_EMT-322-102D-08_Apple_iPhone_6S_Bamboo_1.jpeg,Element_Case_EMT-322-102D-08_Apple_iPhone_6S_Bamboo_2.jpeg,Element_Case_EMT-322-102D-08_Apple_iPhone_6S_Bamboo_3.jpeg,Element_Case_EMT-322-102D-08_Apple_iPhone_6S_Bamboo_4.jpeg,Element_Case_EMT-322-102D-08_Apple_iPhone_6S_Bamboo_5.jpeg,,,,,1,12.5,13490,,,,,,,,,,
