Name,EAN/UPC,Brand,Model Type,Color Match,Model Number,Category,Sub-Category,Brand Color,Color,Compatible Device,Compatible With,Type (Name),Type,Material,Finish,Warranty,Warranty Summary,Description,Image1,Image2,Image3,Image4,Image5,Image6,Image7,Video URL,Sales Package,Quantity,Tax,Price,Wholesale Price,Firstsale Price,Special Price From,Special Price To,Dimension,Weight,Meta Title,Meta Description,Meta Keyword,Key Features
Element Case Black Ops Back Case For Apple iPhone 6S - Black,,Element Case,Black Ops,EMT-322-106D-01,EMT-322-106D-01,Cases & Protection,Apple,Black,Black,"iPhone 6, iPhone 6S",Apple iPhone 6S,Back Case,"Back Case, Hard Case",,,No Warranty,,"The ultimate in covert protection, the new Black Ops line is fully compatible with all iPhone 6/6s and 6 Plus/6s Plus models. Like its predecessors, the new Black Ops features CNC machined aluminum crowns with black type III MIL-SPEC anodize finish, CNC machined G10 composite side rails, and non-glare matte finished main body. The new QRC&#8482; (Quick Release Crowns) system allows fast and easy installation and docking capability. The Black Ops case includes an all new multi-access Tactical Holster made from Ballistic Nylon. Designed to work with Apple original lightning charging cable.",Element_Case_EMT-322-106D-01_Apple_iPhone_6S_Black_1.jpeg,Element_Case_EMT-322-106D-01_Apple_iPhone_6S_Black_2.jpeg,Element_Case_EMT-322-106D-01_Apple_iPhone_6S_Black_3.jpeg,Element_Case_EMT-322-106D-01_Apple_iPhone_6S_Black_4.jpeg,Element_Case_EMT-322-106D-01_Apple_iPhone_6S_Black_5.jpeg,,,,,1,12.5,13490,,,,,,,,,,
Element Case Ion Back Case For Apple iphone 6S Plus - Black,,Element Case,Ion,EMT,EMT-0060,Cases & Protection,Apple,Black,Black,"Apple iphone 6S Plus, Apple iphone 6 Plus",Apple iphone 6S Plus,Back Case,"Back Case, Hard Case",,,No Warranty,,"
Never stand still. Never stop improving. Our next generation ION raises the bar with a high impact resistant Thermoplastic Polyurethane (TPU) body that just feels right in the palm of your hand. The iconic ergonomic shape — with integrated TPU buttons — is bolstered by a genuine aerospace grade Carbon Fiber polycarbonate back plate that both protects and makes heads turn. The ruggedly handsome ION is a member of our Active Collect",Element_Case_EMT-0060_Apple_iphone_6S_Plus_Black_1.jpeg,Element_Case_EMT-0060_Apple_iphone_6S_Plus_Black_2.jpeg,Element_Case_EMT-0060_Apple_iphone_6S_Plus_Black_3.jpeg,Element_Case_EMT-0060_Apple_iphone_6S_Plus_Black_4.jpeg,,,,,,1,12.5,3690,,,,,,,,,,
Element Case Ion Back Case For Apple iphone 6S Plus - Blue,,Element Case,Ion,EMT,EMT-0079,Cases & Protection,Apple,Blue,Blue,"Apple iphone 6S Plus, Apple iphone 6 Plus",Apple iphone 6S Plus,Back Case,"Back Case, Hard Case",,,No Warranty,,"
Never stand still. Never stop improving. Our next generation ION raises the bar with a high impact resistant Thermoplastic Polyurethane (TPU) body that just feels right in the palm of your hand. The iconic ergonomic shape — with integrated TPU buttons — is bolstered by a genuine aerospace grade Carbon Fiber polycarbonate back plate that both protects and makes heads turn. The ruggedly handsome ION is a member of our Active Collect",Element_Case_EMT-0079_Apple_iphone_6S_Plus_Blue_1.jpeg,Element_Case_EMT-0079_Apple_iphone_6S_Plus_Blue_2.jpeg,Element_Case_EMT-0079_Apple_iphone_6S_Plus_Blue_3.jpeg,Element_Case_EMT-0079_Apple_iphone_6S_Plus_Blue_4.jpeg,,,,,,1,12.5,3690,,,,,,,,,,
Element Case Aura Back Case For Apple iphone 6S Plus - Black,,Element Case,Aura,EMT322-100E,EMT322-100E-01,Cases & Protection,Apple,Black,Black,"Apple iphone 6S Plus, Apple iphone 6 Plus",Apple iphone 6S Plus,Back Case,"Back Case, Hard Case",,,No Warranty,,SETTING NEW STANDARDS FOR LIGHTWEIGHT PREMIUM CASES – The slim and sexy Aura is a stunning choice. Modern styling fused with high-impact protection enhances its desirability. Glossy spray ?nished top and bottom crowns are paired with a durable Soft-touch coated main body. The interior is lined with special impact absorbing elastomer material to further protect your phone.,Element_Case_EMT322-100E-01_Apple_iphone_6S_Plus_Black_1.jpeg,Element_Case_EMT322-100E-01_Apple_iphone_6S_Plus_Black_2.jpeg,Element_Case_EMT322-100E-01_Apple_iphone_6S_Plus_Black_3.jpeg,Element_Case_EMT322-100E-01_Apple_iphone_6S_Plus_Black_4.jpeg,,,,,,1,12.5,3690,,,,,,,,,,
Element Case Aura Back Case For Apple iphone 6S Plus - State Blue,,Element Case,Aura,EMT322-100E,EMT322-100E-03,Cases & Protection,Apple,State Blue,Blue,"Apple iphone 6S Plus, Apple iphone 6 Plus",Apple iphone 6S Plus,Back Case,"Back Case, Hard Case",,,No Warranty,,SETTING NEW STANDARDS FOR LIGHTWEIGHT PREMIUM CASES – The slim and sexy Aura is a stunning choice. Modern styling fused with high-impact protection enhances its desirability. Glossy spray ?nished top and bottom crowns are paired with a durable Soft-touch coated main body. The interior is lined with special impact absorbing elastomer material to further protect your phone.,Element_Case_EMT322-100E-03_Apple_iphone_6S_Plus_State_Blue_1.jpeg,Element_Case_EMT322-100E-03_Apple_iphone_6S_Plus_State_Blue_2.jpeg,Element_Case_EMT322-100E-03_Apple_iphone_6S_Plus_State_Blue_3.jpeg,Element_Case_EMT322-100E-03_Apple_iphone_6S_Plus_State_Blue_4.jpeg,,,,,,1,12.5,3690,,,,,,,,,,
Element Case Aura Back Case For Apple iphone 6S Plus - Coral,,Element Case,Aura,EMT322-100E,EMT322-100E-04,Cases & Protection,Apple,Coral,Orange,"Apple iphone 6S Plus, Apple iphone 6 Plus",Apple iphone 6S Plus,Back Case,"Back Case, Hard Case",,,No Warranty,,SETTING NEW STANDARDS FOR LIGHTWEIGHT PREMIUM CASES – The slim and sexy Aura is a stunning choice. Modern styling fused with high-impact protection enhances its desirability. Glossy spray ?nished top and bottom crowns are paired with a durable Soft-touch coated main body. The interior is lined with special impact absorbing elastomer material to further protect your phone.,Element_Case_EMT322-100E-04_Apple_iphone_6S_Plus_Coral_1.jpeg,Element_Case_EMT322-100E-04_Apple_iphone_6S_Plus_Coral_2.jpeg,Element_Case_EMT322-100E-04_Apple_iphone_6S_Plus_Coral_3.jpeg,Element_Case_EMT322-100E-04_Apple_iphone_6S_Plus_Coral_4.jpeg,,,,,,1,12.5,3690,,,,,,,,,,
Element Case Solace Back Case For Apple iphone 6S Plus - Black,,Element Case,Solace,EMT-322-101E,EMT-322-101E-01,Cases & Protection,Apple,Black,Black,"Apple iphone 6S Plus, Apple iphone 6 Plus",Apple iphone 6S Plus,Back Case,"Back Case, Hard Case",,,No Warranty,,"Modern styling fuses with high-impact protection to create the Solace II, our signature case. The precision machined, hand polished aluminum crowns compliment the Soft-touch finished main body, while the interior is lined with a special impact absorbing elastomer material to further protect your phone.",Element_Case_EMT-322-101E-01_Apple_iphone_6S_Plus_Black_1.jpeg,Element_Case_EMT-322-101E-01_Apple_iphone_6S_Plus_Black_2.jpeg,Element_Case_EMT-322-101E-01_Apple_iphone_6S_Plus_Black_3.jpeg,Element_Case_EMT-322-101E-01_Apple_iphone_6S_Plus_Black_4.jpeg,Element_Case_EMT-322-101E-01_Apple_iphone_6S_Plus_Black_5.jpeg,,,,,1,12.5,6990,,,,,,,,,,
Element Case Solace Back Case For Apple iphone 6S Plus - Silver,,Element Case,Solace,EMT-322-101E,EMT-322-101E-23,Cases & Protection,Apple,Silver,Silver,"Apple iphone 6S Plus, Apple iphone 6 Plus",Apple iphone 6S Plus,Back Case,"Back Case, Hard Case",,,No Warranty,,"Modern styling fuses with high-impact protection to create the Solace II, our signature case. The precision machined, hand polished aluminum crowns compliment the Soft-touch finished main body, while the interior is lined with a special impact absorbing elastomer material to further protect your phone.",Element_Case_EMT-322-101E-23_Apple_iphone_6S_Plus_Silver_1.jpeg,Element_Case_EMT-322-101E-23_Apple_iphone_6S_Plus_Silver_2.jpeg,Element_Case_EMT-322-101E-23_Apple_iphone_6S_Plus_Silver_3.jpeg,Element_Case_EMT-322-101E-23_Apple_iphone_6S_Plus_Silver_4.jpeg,Element_Case_EMT-322-101E-23_Apple_iphone_6S_Plus_Silver_5.jpeg,,,,,1,12.5,6990,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
